person,gender,wild,model,score
67,Male,False,r,3
67,Male,False,d,1
68,Male,True,a,3
68,Male,True,d,2
68,Male,True,r,1
69,Male,False,r,3
69,Male,False,a,2
69,Male,False,d,1
70,Male,True,a,3
70,Male,True,d,2
70,Male,True,r,1
71,Male,False,r,2
71,Male,False,d,1
71,Male,False,a,3
72,Male,True,a,3
72,Male,True,r,1
72,Male,True,d,2
73,Male,False,r,3
73,Male,False,d,2
73,Male,False,a,1
74,Male,True,r,2
74,Male,True,a,3
74,Male,True,d,1
75,Male,False,r,3
75,Male,False,a,1
75,Male,False,d,2
76,Male,True,a,3
76,Male,True,d,2
76,Male,True,r,1
77,Male,False,d,1
77,Male,False,r,3
77,Male,False,a,2
78,Male,True,a,3
78,Male,True,r,1
78,Male,True,d,2
79,Male,False,d,1
79,Male,False,r,3
79,Male,False,a,2
80,Male,True,d,3
80,Male,True,r,1
80,Male,True,a,2
81,Male,False,a,1
81,Male,False,r,3
81,Male,False,d,2
82,Male,True,r,1
82,Male,True,a,3
82,Male,True,d,2
83,Male,False,a,1
83,Male,False,r,3
83,Male,False,d,2
84,Male,True,r,1
84,Male,True,d,3
84,Male,True,a,2
85,Male,False,a,3
85,Male,False,r,2
85,Male,False,d,1
86,Male,True,r,3
86,Male,True,a,2
86,Male,True,d,1
87,Male,False,d,1
87,Male,False,r,3
87,Male,False,a,2
88,Male,True,d,1
88,Male,True,r,2
88,Male,True,a,3
89,Male,False,r,3
89,Male,False,d,2
89,Male,False,a,1
90,Male,True,r,1
90,Male,True,a,3
90,Male,True,d,2
91,Male,False,d,1
91,Male,False,a,2
91,Male,False,r,3
92,Male,True,a,2
92,Male,True,d,3
92,Male,True,r,1
93,Male,False,d,1
93,Male,False,a,2
93,Male,False,r,3
94,Male,True,r,1
94,Male,True,d,3
94,Male,True,a,2
95,Male,False,r,3
95,Male,False,a,1
95,Male,False,d,2
96,Male,True,r,1
96,Male,True,a,3
96,Male,True,d,2
97,Male,False,a,1
97,Male,False,r,3
97,Male,False,d,2
98,Male,True,a,3
98,Male,True,d,2
98,Male,True,r,1
99,Male,False,r,3
99,Male,False,a,2
99,Male,False,d,1
100,Male,True,a,3
100,Male,True,d,2
100,Male,True,r,1
101,Male,False,r,2
101,Male,False,d,1
101,Male,False,a,3
102,Male,True,a,2
