person,gender,pref,wild,model,score
33,Female,none,False,r,3
34,Female,none,True,r,2
34,Female,none,True,d,1
34,Female,none,True,a,3
35,Female,none,False,r,1
35,Female,none,False,a,2
35,Female,none,False,d,3
36,Female,none,True,r,1
36,Female,none,True,a,3
36,Female,none,True,d,2
37,Female,none,False,a,1
37,Female,none,False,r,3
37,Female,none,False,d,2
38,Female,none,True,a,2
38,Female,none,True,d,3
38,Female,none,True,r,1
39,Female,none,False,r,3
39,Female,none,False,a,1
39,Female,none,False,d,2
40,Female,none,True,a,1
40,Female,none,True,d,3
40,Female,none,True,r,2
41,Female,none,False,r,2
41,Female,none,False,d,1
41,Female,none,False,a,3
42,Female,none,True,a,2
42,Female,none,True,r,1
42,Female,none,True,d,3
43,Female,none,False,r,3
43,Female,none,False,d,2
43,Female,none,False,a,1
44,Female,none,True,r,3
44,Female,none,True,a,2
44,Female,none,True,d,1
45,Female,none,False,r,3
45,Female,none,False,a,1
45,Female,none,False,d,2
46,Female,none,True,a,3
46,Female,none,True,d,2
46,Female,none,True,r,1
47,Female,none,False,d,2
47,Female,none,False,r,3
47,Female,none,False,a,1
48,Female,none,True,a,3
48,Female,none,True,r,2
48,Female,none,True,d,1
49,Female,none,False,d,1
49,Female,none,False,r,3
49,Female,none,False,a,2
50,Female,none,True,d,3
50,Female,none,True,r,2
50,Female,none,True,a,1
51,Female,none,False,a,1
51,Female,none,False,r,3
51,Female,none,False,d,2
52,Female,none,True,r,1
52,Female,none,True,a,3
52,Female,none,True,d,2
53,Female,none,False,a,1
53,Female,none,False,r,3
53,Female,none,False,d,2
54,Female,none,True,r,2
54,Female,none,True,d,1
54,Female,none,True,a,3
55,Female,none,False,a,3
55,Female,none,False,r,2
55,Female,none,False,d,1
56,Female,none,True,r,2
56,Female,none,True,a,3
56,Female,none,True,d,1
57,Female,none,False,d,1
57,Female,none,False,r,3
57,Female,none,False,a,2
58,Female,none,True,d,1
58,Female,none,True,r,2
58,Female,none,True,a,3
59,Female,none,False,r,3
59,Female,none,False,d,1
59,Female,none,False,a,2
60,Female,none,True,r,2
60,Female,none,True,a,1
60,Female,none,True,d,3
61,Male,shape,False,d,1
61,Male,shape,False,a,2
61,Male,shape,False,r,3
62,Male,shape,True,a,2
62,Male,shape,True,d,3
62,Male,shape,True,r,1
63,Male,shape,False,d,1
63,Male,shape,False,a,2
63,Male,shape,False,r,3
64,Male,shape,True,r,1
64,Male,shape,True,d,2
64,Male,shape,True,a,3
65,Male,shape,False,r,3
65,Male,shape,False,a,2
65,Male,shape,False,d,1
66,Male,shape,True,r,1
66,Male,shape,True,a,3
66,Male,shape,True,d,2
67,Male,shape,False,a,2
67,Male,shape,False,r,3
67,Male,shape,False,d,1
68,Male,shape,True,a,3
68,Male,shape,True,d,2
68,Male,shape,True,r,1
69,Male,shape,False,r,3
69,Male,shape,False,a,2
69,Male,shape,False,d,1
70,Male,shape,True,a,3
70,Male,shape,True,d,2
70,Male,shape,True,r,1
71,Male,shape,False,r,2
71,Male,shape,False,d,1
71,Male,shape,False,a,3
72,Male,shape,True,a,3
72,Male,shape,True,r,1
72,Male,shape,True,d,2
73,Male,shape,False,r,3
73,Male,shape,False,d,2
73,Male,shape,False,a,1
74,Male,shape,True,r,2
74,Male,shape,True,a,3
74,Male,shape,True,d,1
75,Male,shape,False,r,3
75,Male,shape,False,a,1
75,Male,shape,False,d,2
76,Male,shape,True,a,3
76,Male,shape,True,d,2
76,Male,shape,True,r,1
77,Male,shape,False,d,1
77,Male,shape,False,r,3
77,Male,shape,False,a,2
78,Male,shape,True,a,3
78,Male,shape,True,r,1
78,Male,shape,True,d,2
79,Male,shape,False,d,1
79,Male,shape,False,r,3
79,Male,shape,False,a,2
80,Male,shape,True,d,3
80,Male,shape,True,r,1
80,Male,shape,True,a,2
81,Male,shape,False,a,1
81,Male,shape,False,r,3
81,Male,shape,False,d,2
82,Male,shape,True,r,1
82,Male,shape,True,a,3
82,Male,shape,True,d,2
83,Male,shape,False,a,1
83,Male,shape,False,r,3
83,Male,shape,False,d,2
84,Male,shape,True,r,1
84,Male,shape,True,d,3
84,Male,shape,True,a,2
85,Male,shape,False,a,3
85,Male,shape,False,r,2
85,Male,shape,False,d,1
86,Male,shape,True,r,3
86,Male,shape,True,a,2
86,Male,shape,True,d,1
87,Male,shape,False,d,1
87,Male,shape,False,r,3
87,Male,shape,False,a,2
88,Male,shape,True,d,1
88,Male,shape,True,r,2
88,Male,shape,True,a,3
89,Male,shape,False,r,3
89,Male,shape,False,d,2
89,Male,shape,False,a,1
90,Male,shape,True,r,1
90,Male,shape,True,a,3
90,Male,shape,True,d,2
91,Male,shape,False,d,1
91,Male,shape,False,a,2
91,Male,shape,False,r,3
92,Male,shape,True,a,2
92,Male,shape,True,d,3
92,Male,shape,True,r,1
93,Male,shape,False,d,1
93,Male,shape,False,a,2
93,Male,shape,False,r,3
94,Male,shape,True,r,1
94,Male,shape,True,d,3
94,Male,shape,True,a,2
95,Male,shape,False,r,3
95,Male,shape,False,a,1
95,Male,shape,False,d,2
